City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Washington D.C.,UberX,COMPLETED,,,,,,,,,,0.83,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,27.52,,USD
Portland,UberX,COMPLETED,,,,,,,,,,8.11,,USD
Portland,UberX,COMPLETED,,,,,,,,,,5.06,,USD
Portland,UberX,COMPLETED,,,,,,,,,,0.93,,USD
Portland,UberX,COMPLETED,,,,,,,,,,3.39,,USD
Washington D.C.,,CANCELED,,,,,,,,,,,,
Boston,UberX,COMPLETED,,,,,,,,,,3.44,,USD
Boston,UberX,COMPLETED,,,,,,,,,,3.16,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,5.23,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,3.72,,USD
Washington D.C.,UberX,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,UberX,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,UberX,CANCELED,,,,,,,,,,0,,USD
Boston,UberX,COMPLETED,,,,,,,,,,9.05,,USD
Connecticut,UberX,COMPLETED,,,,,,,,,,1.2,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,6.97,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,3.98,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,3.71,,USD
Washington D.C.,UberX,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,2.53,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,6.93,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,1.83,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,1.74,,USD
Washington D.C.,UberX,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,2.19,,USD
Washington D.C.,UberX,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,4,,USD
Washington D.C.,UberX,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,5.81,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,5.81,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,3.98,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,2.86,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,2.57,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,2.24,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,1.58,,USD
Washington D.C.,UberX,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,3.54,,USD
Washington D.C.,UberX,CANCELED,,,,,,,,,,0,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,3.27,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,2.51,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,2.98,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,3.74,,USD
Washington D.C.,UberX,COMPLETED,,,,,,,,,,7.64,,USD
